fips_code,county,state_name,LSAD
1081,Lee,Alabama,County
13007,Baker,Georgia,County
17031,Cook,Illinois,County
51159,Richmond,Virginia,County
26005,Allegan,Michigan,County
26161,Washtenaw,Michigan,County
31029,Chase,Nebraska,County
13141,Hancock,Georgia,County
36057,Montgomery,New York,County
37047,Columbus,North Carolina,County
40105,Nowata,Oklahoma,County
72043,Coamo,Puerto Rico,Muno
8007,Archuleta,Colorado,County
22063,Livingston,Louisiana,Parish
27011,Big Stone,Minnesota,County
27067,Kandiyohi,Minnesota,County
24017,Charles,Maryland,County
28011,Bolivar,Mississippi,County
19051,Davis,Iowa,County
31067,Gage,Nebraska,County
54073,Pleasants,West Virginia,County
8067,La Plata,Colorado,County
17099,LaSalle,Illinois,County
23011,Kennebec,Maine,County
26143,Roscommon,Michigan,County
55085,Oneida,Wisconsin,County
48147,Fannin,Texas,County
72037,Ceiba,Puerto Rico,Muno
6057,Nevada,California,County
20175,Seward,Kansas,County
22125,West Feliciana,Louisiana,Parish
48009,Archer,Texas,County
51036,Charles City,Virginia,County
1091,Marengo,Alabama,County
5079,Lincoln,Arkansas,County
18131,Pulaski,Indiana,County
19027,Carroll,Iowa,County
21081,Grant,Kentucky,County
42069,Lackawanna,Pennsylvania,County
48167,Galveston,Texas,County
17097,Lake,Illinois,County
45029,Colleton,South Carolina,County
30083,Richland,Montana,County
31077,Greeley,Nebraska,County
35033,Mora,New Mexico,County
48137,Edwards,Texas,County
31009,Blaine,Nebraska,County
36027,Dutchess,New York,County
51590,Danville,Virginia,City
54017,Doddridge,West Virginia,County
30105,Valley,Montana,County
5065,Izard,Arkansas,County
18107,Montgomery,Indiana,County
24031,Montgomery,Maryland,County
26073,Isabella,Michigan,County
38047,Logan,North Dakota,County
39123,Ottawa,Ohio,County
13127,Glynn,Georgia,County
28079,Leake,Mississippi,County
31037,Colfax,Nebraska,County
35013,Doña Ana,New Mexico,County
46017,Buffalo,South Dakota,County
12115,Sarasota,Florida,County
13033,Burke,Georgia,County
27171,Wright,Minnesota,County
28107,Panola,Mississippi,County
40079,Le Flore,Oklahoma,County
42001,Adams,Pennsylvania,County
18179,Wells,Indiana,County
39117,Morrow,Ohio,County
22009,Avoyelles,Louisiana,Parish
38073,Ransom,North Dakota,County
48143,Erath,Texas,County
22077,Pointe Coupee,Louisiana,Parish
21189,Owsley,Kentucky,County
29089,Howard,Missouri,County
36021,Columbia,New York,County
8003,Alamosa,Colorado,County
39153,Summit,Ohio,County
13151,Henry,Georgia,County
13275,Thomas,Georgia,County
22097,St. Landry,Louisiana,Parish
29199,Scotland,Missouri,County
53067,Thurston,Washington,County
17041,Douglas,Illinois,County
17089,Kane,Illinois,County
26021,Berrien,Michigan,County
54089,Summers,West Virginia,County
6079,San Luis Obispo,California,County
34021,Mercer,New Jersey,County
36029,Erie,New York,County
13051,Chatham,Georgia,County
18065,Henry,Indiana,County
21071,Floyd,Kentucky,County
21159,Martin,Kentucky,County
29059,Dallas,Missouri,County
31039,Cuming,Nebraska,County
48067,Cass,Texas,County
48387,Red River,Texas,County
13091,Dodge,Georgia,County
39167,Washington,Ohio,County
48333,Mills,Texas,County
1099,Monroe,Alabama,County
5129,Searcy,Arkansas,County
8015,Chaffee,Colorado,County
46091,Marshall,South Dakota,County
48001,Anderson,Texas,County
6063,Plumas,California,County
8057,Jackson,Colorado,County
17189,Washington,Illinois,County
26091,Lenawee,Michigan,County
39063,Hancock,Ohio,County
54009,Brooke,West Virginia,County
8089,Otero,Colorado,County
26095,Luce,Michigan,County
28139,Tippah,Mississippi,County
48359,Oldham,Texas,County
13181,Lincoln,Georgia,County
31131,Otoe,Nebraska,County
37009,Ashe,North Carolina,County
46037,Day,South Dakota,County
47073,Hawkins,Tennessee,County
13071,Colquitt,Georgia,County
36019,Clinton,New York,County
48251,Johnson,Texas,County
27145,Stearns,Minnesota,County
18069,Huntington,Indiana,County
33015,Rockingham,New Hampshire,County
37061,Duplin,North Carolina,County
39037,Darke,Ohio,County
42131,Wyoming,Pennsylvania,County
45085,Sumter,South Carolina,County
72075,Juana Díaz,Puerto Rico,Muno
8023,Costilla,Colorado,County
13157,Jackson,Georgia,County
26111,Midland,Michigan,County
28129,Smith,Mississippi,County
29097,Jasper,Missouri,County
32003,Clark,Nevada,County
37089,Henderson,North Carolina,County
51063,Floyd,Virginia,County
19045,Clinton,Iowa,County
21179,Nelson,Kentucky,County
24001,Allegany,Maryland,County
38065,Oliver,North Dakota,County
48365,Panola,Texas,County
21027,Breckinridge,Kentucky,County
29079,Grundy,Missouri,County
31047,Dawson,Nebraska,County
31079,Hall,Nebraska,County
31143,Polk,Nebraska,County
34011,Cumberland,New Jersey,County
37017,Bladen,North Carolina,County
20111,Lyon,Kansas,County
27109,Olmsted,Minnesota,County
6045,Mendocino,California,County
13187,Lumpkin,Georgia,County
20129,Morton,Kansas,County
27119,Polk,Minnesota,County
46067,Hutchinson,South Dakota,County
21031,Butler,Kentucky,County
47007,Bledsoe,Tennessee,County
48341,Moore,Texas,County
29085,Hickory,Missouri,County
37015,Bertie,North Carolina,County
53047,Okanogan,Washington,County
5045,Faulkner,Arkansas,County
17021,Christian,Illinois,County
31045,Dawes,Nebraska,County
41037,Lake,Oregon,County
46121,Todd,South Dakota,County
1117,Shelby,Alabama,County
5117,Prairie,Arkansas,County
8043,Fremont,Colorado,County
15001,Hawaii,Hawaii,County
28153,Wayne,Mississippi,County
37035,Catawba,North Carolina,County
37055,Dare,North Carolina,County
47119,Maury,Tennessee,County
48063,Camp,Texas,County
28159,Winston,Mississippi,County
35041,Roosevelt,New Mexico,County
37135,Orange,North Carolina,County
48413,Schleicher,Texas,County
51187,Warren,Virginia,County
53005,Benton,Washington,County
48345,Motley,Texas,County
8085,Montrose,Colorado,County
40033,Cotton,Oklahoma,County
45047,Greenwood,South Carolina,County
46055,Haakon,South Dakota,County
69100,Rota Municipality,Northern Mariana Islands,
78030,St. Thomas Island,U.S. Virgin Islands,
40123,Pontotoc,Oklahoma,County
42077,Lehigh,Pennsylvania,County
48239,Jackson,Texas,County
55139,Winnebago,Wisconsin,County
2220,Sitka,Alaska,Cty&Bor
26149,St. Joseph,Michigan,County
31135,Perkins,Nebraska,County
38085,Sioux,North Dakota,County
45033,Dillon,South Carolina,County
13115,Floyd,Georgia,County
13283,Treutlen,Georgia,County
17093,Kendall,Illinois,County
39065,Hardin,Ohio,County
1103,Morgan,Alabama,County
8079,Mineral,Colorado,County
8105,Rio Grande,Colorado,County
40065,Jackson,Oklahoma,County
1075,Lamar,Alabama,County
13303,Washington,Georgia,County
48163,Frio,Texas,County
20177,Shawnee,Kansas,County
1059,Franklin,Alabama,County
30091,Sheridan,Montana,County
47081,Hickman,Tennessee,County
55131,Washington,Wisconsin,County
8011,Bent,Colorado,County
20131,Nemaha,Kansas,County
28131,Stone,Mississippi,County
27009,Benton,Minnesota,County
30007,Broadwater,Montana,County
1043,Cullman,Alabama,County
13053,Chattahoochee,Georgia,County
20033,Comanche,Kansas,County
37095,Hyde,North Carolina,County
42021,Cambria,Pennsylvania,County
48305,Lynn,Texas,County
6067,Sacramento,California,County
39011,Auglaize,Ohio,County
6095,Solano,California,County
36015,Chemung,New York,County
48071,Chambers,Texas,County
48109,Culberson,Texas,County
48223,Hopkins,Texas,County
13279,Toombs,Georgia,County
18079,Jennings,Indiana,County
19001,Adair,Iowa,County
35061,Valencia,New Mexico,County
2275,Wrangell,Alaska,Cty&Bor
12041,Gilchrist,Florida,County
13317,Wilkes,Georgia,County
26039,Crawford,Michigan,County
29101,Johnson,Missouri,County
36055,Monroe,New York,County
37041,Chowan,North Carolina,County
37105,Lee,North Carolina,County
40103,Noble,Oklahoma,County
2122,Kenai Peninsula,Alaska,Borough
18019,Clark,Indiana,County
25017,Middlesex,Massachusetts,County
47043,Dickson,Tennessee,County
55021,Columbia,Wisconsin,County
1053,Escambia,Alabama,County
20161,Riley,Kansas,County
21011,Bath,Kentucky,County
27059,Isanti,Minnesota,County
31099,Kearney,Nebraska,County
46069,Hyde,South Dakota,County
47031,Coffee,Tennessee,County
48451,Tom Green,Texas,County
6001,Alameda,California,County
48259,Kendall,Texas,County
48377,Presidio,Texas,County
51069,Frederick,Virginia,County
51660,Harrisonburg,Virginia,City
13189,McDuffie,Georgia,County
13219,Oconee,Georgia,County
49015,Emery,Utah,County
6027,Inyo,California,County
20171,Scott,Kansas,County
27051,Grant,Minnesota,County
35005,Chaves,New Mexico,County
39091,Logan,Ohio,County
35025,Lea,New Mexico,County
47093,Knox,Tennessee,County
5147,Woodruff,Arkansas,County
27123,Ramsey,Minnesota,County
32001,Churchill,Nevada,County
55047,Green Lake,Wisconsin,County
13153,Houston,Georgia,County
17125,Mason,Illinois,County
18119,Owen,Indiana,County
37031,Carteret,North Carolina,County
1051,Elmore,Alabama,County
13001,Appling,Georgia,County
27037,Dakota,Minnesota,County
41017,Deschutes,Oregon,County
51013,Arlington,Virginia,County
25011,Franklin,Massachusetts,County
39015,Brown,Ohio,County
13223,Paulding,Georgia,County
16045,Gem,Idaho,County
24009,Calvert,Maryland,County
36081,Queens,New York,County
46019,Butte,South Dakota,County
48149,Fayette,Texas,County
54093,Tucker,West Virginia,County
5149,Yell,Arkansas,County
29109,Lawrence,Missouri,County
48113,Dallas,Texas,County
12085,Martin,Florida,County
39069,Henry,Ohio,County
50003,Bennington,Vermont,County
54015,Clay,West Virginia,County
6077,San Joaquin,California,County
17063,Grundy,Illinois,County
18009,Blackford,Indiana,County
22045,Iberia,Louisiana,Parish
13211,Morgan,Georgia,County
17175,Stark,Illinois,County
72151,Yabucoa,Puerto Rico,Muno
6047,Merced,California,County
13109,Evans,Georgia,County
19127,Marshall,Iowa,County
19137,Montgomery,Iowa,County
41021,Gilliam,Oregon,County
47033,Crockett,Tennessee,County
47149,Rutherford,Tennessee,County
54055,Mercer,West Virginia,County
17037,DeKalb,Illinois,County
19091,Humboldt,Iowa,County
19093,Ida,Iowa,County
20185,Stafford,Kansas,County
38099,Walsh,North Dakota,County
51017,Bath,Virginia,County
51163,Rockbridge,Virginia,County
8091,Ouray,Colorado,County
37023,Burke,North Carolina,County
47129,Morgan,Tennessee,County
48437,Swisher,Texas,County
17197,Will,Illinois,County
18123,Perry,Indiana,County
22099,St. Martin,Louisiana,Parish
31031,Cherry,Nebraska,County
1001,Autauga,Alabama,County
2158,Kusilvak Census Area,Alaska,
12129,Wakulla,Florida,County
24013,Carroll,Maryland,County
29169,Pulaski,Missouri,County
31071,Garfield,Nebraska,County
41005,Clackamas,Oregon,County
53071,Walla Walla,Washington,County
28145,Union,Mississippi,County
30071,Phillips,Montana,County
21115,Johnson,Kentucky,County
29163,Pike,Missouri,County
29181,Ripley,Missouri,County
41049,Morrow,Oregon,County
48211,Hemphill,Texas,County
16039,Elmore,Idaho,County
26027,Cass,Michigan,County
42079,Luzerne,Pennsylvania,County
48487,Wilbarger,Texas,County
55009,Brown,Wisconsin,County
72055,Guánica,Puerto Rico,Muno
13023,Bleckley,Georgia,County
27005,Becker,Minnesota,County
30041,Hill,Montana,County
35029,Luna,New Mexico,County
72007,Aguas Buenas,Puerto Rico,Muno
29161,Phelps,Missouri,County
51061,Fauquier,Virginia,County
18013,Brown,Indiana,County
19073,Greene,Iowa,County
46137,Ziebach,South Dakota,County
54035,Jackson,West Virginia,County
1063,Greene,Alabama,County
13069,Coffee,Georgia,County
17101,Lawrence,Illinois,County
20067,Grant,Kansas,County
47139,Polk,Tennessee,County
55097,Portage,Wisconsin,County
40097,Mayes,Oklahoma,County
47075,Haywood,Tennessee,County
51135,Nottoway,Virginia,County
18047,Franklin,Indiana,County
19131,Mitchell,Iowa,County
21191,Pendleton,Kentucky,County
2110,Juneau,Alaska,Cty&Bor
51810,Virginia Beach,Virginia,City
12015,Charlotte,Florida,County
20099,Labette,Kansas,County
28105,Oktibbeha,Mississippi,County
37065,Edgecombe,North Carolina,County
51059,Fairfax,Virginia,County
72023,Cabo Rojo,Puerto Rico,Muno
23019,Penobscot,Maine,County
25005,Bristol,Massachusetts,County
37143,Perquimans,North Carolina,County
51115,Mathews,Virginia,County
26105,Mason,Michigan,County
42007,Beaver,Pennsylvania,County
48347,Nacogdoches,Texas,County
40049,Garvin,Oklahoma,County
42031,Clarion,Pennsylvania,County
20073,Greenwood,Kansas,County
22031,De Soto,Louisiana,Parish
26065,Ingham,Michigan,County
26151,Sanilac,Michigan,County
27073,Lac qui Parle,Minnesota,County
41031,Jefferson,Oregon,County
51137,Orange,Virginia,County
51770,Roanoke,Virginia,City
53037,Kittitas,Washington,County
19123,Mahaska,Iowa,County
21087,Green,Kentucky,County
22007,Assumption,Louisiana,Parish
31165,Sioux,Nebraska,County
35049,Santa Fe,New Mexico,County
6097,Sonoma,California,County
13289,Twiggs,Georgia,County
20037,Crawford,Kansas,County
20091,Johnson,Kansas,County
38009,Bottineau,North Dakota,County
45035,Dorchester,South Carolina,County
5145,White,Arkansas,County
26077,Kalamazoo,Michigan,County
48141,El Paso,Texas,County
49025,Kane,Utah,County
16053,Jerome,Idaho,County
20013,Brown,Kansas,County
29175,Randolph,Missouri,County
48481,Wharton,Texas,County
53075,Whitman,Washington,County
5135,Sharp,Arkansas,County
20163,Rooks,Kansas,County
39013,Belmont,Ohio,County
48337,Montague,Texas,County
40075,Kiowa,Oklahoma,County
42115,Susquehanna,Pennsylvania,County
29011,Barton,Missouri,County
33011,Hillsborough,New Hampshire,County
54057,Mineral,West Virginia,County
72003,Aguada,Puerto Rico,Muno
55053,Jackson,Wisconsin,County
13321,Worth,Georgia,County
19103,Johnson,Iowa,County
19145,Page,Iowa,County
21127,Lawrence,Kentucky,County
37091,Hertford,North Carolina,County
47151,Scott,Tennessee,County
55051,Iron,Wisconsin,County
72109,Patillas,Puerto Rico,Muno
19071,Fremont,Iowa,County
20057,Ford,Kansas,County
48011,Armstrong,Texas,County
54043,Lincoln,West Virginia,County
5133,Sevier,Arkansas,County
12117,Seminole,Florida,County
13269,Taylor,Georgia,County
40131,Rogers,Oklahoma,County
41069,Wheeler,Oregon,County
45089,Williamsburg,South Carolina,County
48279,Lamb,Texas,County
13035,Butts,Georgia,County
29147,Nodaway,Missouri,County
37125,Moore,North Carolina,County
40121,Pittsburg,Oklahoma,County
2170,Matanuska-Susitna,Alaska,Borough
15003,Honolulu,Hawaii,County
18095,Madison,Indiana,County
29185,St. Clair,Missouri,County
19135,Monroe,Iowa,County
48187,Guadalupe,Texas,County
23009,Hancock,Maine,County
5111,Poinsett,Arkansas,County
26047,Emmet,Michigan,County
28043,Grenada,Mississippi,County
28091,Marion,Mississippi,County
48073,Cherokee,Texas,County
48293,Limestone,Texas,County
34029,Ocean,New Jersey,County
45051,Horry,South Carolina,County
48357,Ochiltree,Texas,County
17003,Alexander,Illinois,County
21055,Crittenden,Kentucky,County
26155,Shiawassee,Michigan,County
31085,Hayes,Nebraska,County
40025,Cimarron,Oklahoma,County
54019,Fayette,West Virginia,County
35015,Eddy,New Mexico,County
48057,Calhoun,Texas,County
54047,McDowell,West Virginia,County
55078,Menominee,Wisconsin,County
72071,Isabela,Puerto Rico,Muno
48129,Donley,Texas,County
13005,Bacon,Georgia,County
28121,Rankin,Mississippi,County
29039,Cedar,Missouri,County
40077,Latimer,Oklahoma,County
47173,Union,Tennessee,County
48373,Polk,Texas,County
51157,Rappahannock,Virginia,County
46005,Beadle,South Dakota,County
55127,Walworth,Wisconsin,County
6009,Calaveras,California,County
12103,Pinellas,Florida,County
18109,Morgan,Indiana,County
26013,Baraga,Michigan,County
29103,Knox,Missouri,County
37111,McDowell,North Carolina,County
48013,Atascosa,Texas,County
49043,Summit,Utah,County
1115,St. Clair,Alabama,County
5087,Madison,Arkansas,County
22005,Ascension,Louisiana,Parish
24047,Worcester,Maryland,County
37087,Haywood,North Carolina,County
8041,El Paso,Colorado,County
12027,DeSoto,Florida,County
18027,Daviess,Indiana,County
18091,LaPorte,Indiana,County
20045,Douglas,Kansas,County
32017,Lincoln,Nevada,County
72129,San Lorenzo,Puerto Rico,Muno
17027,Clinton,Illinois,County
20083,Hodgeman,Kansas,County
27135,Roseau,Minnesota,County
9003,Hartford,Connecticut,County
45043,Georgetown,South Carolina,County
55103,Richland,Wisconsin,County
6015,Del Norte,California,County
13237,Putnam,Georgia,County
26109,Menominee,Michigan,County
13173,Lanier,Georgia,County
17007,Boone,Illinois,County
20035,Cowley,Kansas,County
22027,Claiborne,Louisiana,Parish
30059,Meagher,Montana,County
4009,Graham,Arizona,County
26059,Hillsdale,Michigan,County
31175,Valley,Nebraska,County
39133,Portage,Ohio,County
45049,Hampton,South Carolina,County
30045,Judith Basin,Montana,County
37027,Caldwell,North Carolina,County
39027,Clinton,Ohio,County
45023,Chester,South Carolina,County
51141,Patrick,Virginia,County
12063,Jackson,Florida,County
29121,Macon,Missouri,County
39017,Butler,Ohio,County
41035,Klamath,Oregon,County
46043,Douglas,South Dakota,County
51095,James City,Virginia,County
55099,Price,Wisconsin,County
45009,Bamberg,South Carolina,County
72011,Añasco,Puerto Rico,Muno
72141,Utuado,Puerto Rico,Muno
36059,Nassau,New York,County
36095,Schoharie,New York,County
48267,Kimble,Texas,County
5025,Cleveland,Arkansas,County
27095,Mille Lacs,Minnesota,County
39045,Fairfield,Ohio,County
40041,Delaware,Oklahoma,County
5127,Scott,Arkansas,County
21029,Bullitt,Kentucky,County
29115,Linn,Missouri,County
48321,Matagorda,Texas,County
48427,Starr,Texas,County
72067,Hormigueros,Puerto Rico,Muno
13087,Decatur,Georgia,County
72079,Lajas,Puerto Rico,Muno
8039,Elbert,Colorado,County
12019,Clay,Florida,County
20017,Chase,Kansas,County
22109,Terrebonne,Louisiana,Parish
36069,Ontario,New York,County
51029,Buckingham,Virginia,County
15009,Maui,Hawaii,County
17065,Hamilton,Illinois,County
30081,Ravalli,Montana,County
51610,Falls Church,Virginia,City
54029,Hancock,West Virginia,County
18159,Tipton,Indiana,County
19029,Cass,Iowa,County
51720,Norton,Virginia,City
1121,Talladega,Alabama,County
17035,Cumberland,Illinois,County
19155,Pottawattamie,Iowa,County
23017,Oxford,Maine,County
16015,Boise,Idaho,County
21091,Hancock,Kentucky,County
26097,Mackinac,Michigan,County
32029,Storey,Nevada,County
45011,Barnwell,South Carolina,County
13179,Liberty,Georgia,County
13197,Marion,Georgia,County
18127,Porter,Indiana,County
29151,Osage,Missouri,County
18153,Sullivan,Indiana,County
20027,Clay,Kansas,County
30087,Rosebud,Montana,County
1037,Coosa,Alabama,County
5043,Drew,Arkansas,County
12121,Suwannee,Florida,County
17131,Mercer,Illinois,County
51091,Highland,Virginia,County
19043,Clayton,Iowa,County
8019,Clear Creek,Colorado,County
21015,Boone,Kentucky,County
28095,Monroe,Mississippi,County
41059,Umatilla,Oregon,County
51830,Williamsburg,Virginia,City
31083,Harlan,Nebraska,County
35047,San Miguel,New Mexico,County
47027,Clay,Tennessee,County
5105,Perry,Arkansas,County
29031,Cape Girardeau,Missouri,County
40063,Hughes,Oklahoma,County
19161,Sac,Iowa,County
27157,Wabasha,Minnesota,County
28041,Greene,Mississippi,County
28049,Hinds,Mississippi,County
54085,Ritchie,West Virginia,County
20123,Mitchell,Kansas,County
26015,Barry,Michigan,County
31001,Adams,Nebraska,County
38067,Pembina,North Dakota,County
40009,Beckham,Oklahoma,County
47167,Tipton,Tennessee,County
17045,Edgar,Illinois,County
37193,Wilkes,North Carolina,County
49021,Iron,Utah,County
22069,Natchitoches,Louisiana,Parish
27115,Pine,Minnesota,County
37115,Madison,North Carolina,County
55043,Grant,Wisconsin,County
18117,Orange,Indiana,County
48409,San Patricio,Texas,County
55079,Milwaukee,Wisconsin,County
55093,Pierce,Wisconsin,County
20133,Neosho,Kansas,County
13209,Montgomery,Georgia,County
18143,Scott,Indiana,County
19117,Lucas,Iowa,County
21235,Whitley,Kentucky,County
5099,Nevada,Arkansas,County
17163,St. Clair,Illinois,County
19023,Butler,Iowa,County
20147,Phillips,Kansas,County
26031,Cheboygan,Michigan,County
53021,Franklin,Washington,County
72035,Cayey,Puerto Rico,Muno
1065,Hale,Alabama,County
6059,Orange,California,County
8025,Crowley,Colorado,County
13295,Walker,Georgia,County
21187,Owen,Kentucky,County
28069,Kemper,Mississippi,County
48463,Uvalde,Texas,County
19177,Van Buren,Iowa,County
29007,Audrain,Missouri,County
48503,Young,Texas,County
5069,Jefferson,Arkansas,County
17005,Bond,Illinois,County
56011,Crook,Wyoming,County
5073,Lafayette,Arkansas,County
18183,Whitley,Indiana,County
21161,Mason,Kentucky,County
29205,Shelby,Missouri,County
30065,Musselshell,Montana,County
37063,Durham,North Carolina,County
37149,Polk,North Carolina,County
39067,Harrison,Ohio,County
45091,York,South Carolina,County
48249,Jim Wells,Texas,County
5067,Jackson,Arkansas,County
20077,Harper,Kansas,County
21193,Perry,Kentucky,County
49007,Carbon,Utah,County
8109,Saguache,Colorado,County
9005,Litchfield,Connecticut,County
26137,Otsego,Michigan,County
12105,Polk,Florida,County
13097,Douglas,Georgia,County
17061,Greene,Illinois,County
40111,Okmulgee,Oklahoma,County
47079,Henry,Tennessee,County
48105,Crockett,Texas,County
17173,Shelby,Illinois,County
23027,Waldo,Maine,County
37107,Lenoir,North Carolina,County
13099,Early,Georgia,County
13131,Grady,Georgia,County
22055,Lafayette,Louisiana,Parish
29155,Pemiscot,Missouri,County
40001,Adair,Oklahoma,County
51087,Henrico,Virginia,County
42047,Elk,Pennsylvania,County
72054,Florida,Puerto Rico,Muno
4025,Yavapai,Arizona,County
5131,Sebastian,Arkansas,County
29099,Jefferson,Missouri,County
29183,St. Charles,Missouri,County
31151,Saline,Nebraska,County
36087,Rockland,New York,County
39145,Scioto,Ohio,County
13047,Catoosa,Georgia,County
13263,Talbot,Georgia,County
1127,Walker,Alabama,County
21137,Lincoln,Kentucky,County
48395,Robertson,Texas,County
51049,Cumberland,Virginia,County
21175,Morgan,Kentucky,County
38083,Sheridan,North Dakota,County
72049,Culebra,Puerto Rico,Muno
27069,Kittson,Minnesota,County
39151,Stark,Ohio,County
40113,Osage,Oklahoma,County
41061,Union,Oregon,County
45017,Calhoun,South Carolina,County
49009,Daggett,Utah,County
21231,Wayne,Kentucky,County
31129,Nuckolls,Nebraska,County
72093,Maricao,Puerto Rico,Muno
6011,Colusa,California,County
12047,Hamilton,Florida,County
13045,Carroll,Georgia,County
26089,Leelanau,Michigan,County
27077,Lake of the Woods,Minnesota,County
54023,Grant,West Virginia,County
72065,Hatillo,Puerto Rico,Muno
18155,Switzerland,Indiana,County
19039,Clarke,Iowa,County
39101,Marion,Ohio,County
72115,Quebradillas,Puerto Rico,Muno
31107,Knox,Nebraska,County
38007,Billings,North Dakota,County
40149,Washita,Oklahoma,County
8099,Prowers,Colorado,County
20139,Osage,Kansas,County
37081,Guilford,North Carolina,County
41025,Harney,Oregon,County
51750,Radford,Virginia,City
19105,Jones,Iowa,County
49037,San Juan,Utah,County
21097,Harrison,Kentucky,County
27137,St. Louis,Minnesota,County
33013,Merrimack,New Hampshire,County
4023,Santa Cruz,Arizona,County
16043,Fremont,Idaho,County
17135,Montgomery,Illinois,County
18171,Warren,Indiana,County
22117,Washington,Louisiana,Parish
35035,Otero,New Mexico,County
39135,Preble,Ohio,County
53051,Pend Oreille,Washington,County
1079,Lawrence,Alabama,County
8113,San Miguel,Colorado,County
12057,Hillsborough,Florida,County
16079,Shoshone,Idaho,County
41055,Sherman,Oregon,County
8073,Lincoln,Colorado,County
19193,Woodbury,Iowa,County
29203,Shannon,Missouri,County
31069,Garden,Nebraska,County
47005,Benton,Tennessee,County
1061,Geneva,Alabama,County
2282,Yakutat,Alaska,Cty&Bor
12055,Highlands,Florida,County
18141,St. Joseph,Indiana,County
20025,Clark,Kansas,County
13217,Newton,Georgia,County
32007,Elko,Nevada,County
35006,Cibola,New Mexico,County
51600,Fairfax,Virginia,City
1057,Fayette,Alabama,County
31017,Brown,Nebraska,County
48015,Austin,Texas,County
53003,Asotin,Washington,County
17187,Warren,Illinois,County
33017,Strafford,New Hampshire,County
48049,Brown,Texas,County
72131,San Sebastián,Puerto Rico,Muno
35039,Rio Arriba,New Mexico,County
38003,Barnes,North Dakota,County
18093,Lawrence,Indiana,County
26135,Oscoda,Michigan,County
31033,Cheyenne,Nebraska,County
38025,Dunn,North Dakota,County
46015,Brule,South Dakota,County
54027,Hampshire,West Virginia,County
54083,Randolph,West Virginia,County
36083,Rensselaer,New York,County
46073,Jerauld,South Dakota,County
48181,Grayson,Texas,County
18167,Vigo,Indiana,County
29035,Carter,Missouri,County
37187,Washington,North Carolina,County
47143,Rhea,Tennessee,County
13135,Gwinnett,Georgia,County
13267,Tattnall,Georgia,County
19133,Monona,Iowa,County
22067,Morehouse,Louisiana,Parish
22075,Plaquemines,Louisiana,Parish
26041,Delta,Michigan,County
30055,McCone,Montana,County
34015,Gloucester,New Jersey,County
48331,Milam,Texas,County
12039,Gadsden,Florida,County
18007,Benton,Indiana,County
19055,Delaware,Iowa,County
39007,Ashtabula,Ohio,County
21009,Barren,Kentucky,County
8053,Hinsdale,Colorado,County
